Titre Année Prix Image1 image2 km puissance
"La DODGE CHALLENGER " 1975 30000 "./front/images/img_Voiture_70_80/Voiture/dodge_charger_general_lee.jpg " "./front/images/img_Voiture_70_80/Voiture/dodge_charger_general_lee.jpg " 145000 260
"LA FERRARI 308 GTS " 1973 60000 "./front/images/img_Voiture_70_80/Voiture/Ferrari_308_GTS_Magnum.jpg " "./front/images/img_Voiture_70_80/Voiture/Ferrari_308_GTS_Magnum.jpg " 178000 300
"LA FORD TORINO " 1972 25000 "./front/images/img_Voiture_70_80/Voiture/Ford_Torino_Starsky_Hutch.jpg " "./front/images/img_Voiture_70_80/Voiture/Ford_Torino_Starsky_Hutch.jpg " 80000 200
"ASTON MARTIN " 1977 110000 "./front/images/img_Voiture_70_80/Voiture/Aston_Martin_Brett.jpg " "./front/images/img_Voiture_70_80/Voiture/Aston_Martin_Brett.jpg " 100000 270
"FORD MUSTANG BULLIT" 1979 50000 "./front/images/img_Voiture_70_80/Voiture/Ford_Mustang_Bullit.jpg " "./front/images/img_Voiture_70_80/Voiture/Ford_Mustang_Bullit.jpg " 108000 230
"LA COCCINELLE" 1975 20000 "./front/images/img_Voiture_70_80/Voiture/Coccinelle_disney.jpg " "./front/images/img_Voiture_70_80/Voiture/Coccinelle_disney.jpg " 100000 100
"GMC SIERRA" 1983 15000 "./front/images/img_Voiture_70_80/Voiture/GMC_Sierra_Tombe_pic.jpg " "./front/images/img_Voiture_70_80/Voiture/GMC_Sierra_Tombe_pic.jpg " 100000 230
"MERCEDES R107" 1981 30000 "./front/images/img_Voiture_70_80/Voiture/Mercedes_R107_380_SL.jpg " "./front/images/img_Voiture_70_80/Voiture/Mercedes_R107_380_SL.jpg " 100000 230
"PEUGEOT 403" 1975 25000 "./front/images/img_Voiture_70_80/Voiture/Peugeot_403_Columbo.jpg " "./front/images/img_Voiture_70_80/Voiture/Peugeot_403_Columbo.jpg " 100000 230
"PONTIAC FIREBIRD TRANS AM" 1978 20000 "./front/images/img_Voiture_70_80/Voiture/Pontiac_Firebird_Trans_Am.jpg " "./front/images/img_Voiture_70_80/Voiture/Pontiac_Firebird_Trans_Am.jpg " 100000 230
"FERARI TESTAROSA" 1982 70000 "./front/images/img_Voiture_70_80/Voiture/Ferrari_Testarossa_flic_miami.jpg " "./front/images/img_Voiture_70_80/Voiture/Ferrari_Testarossa_flic_miami.jpg " 100000 230
"JEEP WRANGER" 1983 20000 "./front/images/img_Voiture_70_80/Voiture/Jeep_Wrangler_YJ_Mc_Gayver.jpg " "./front/images/img_Voiture_70_80/Voiture/Jeep_Wrangler_YJ_Mc_Gayver.jpg " 160000 230
"GMC VENDURA" 1985 15000 "./front/images/img_Voiture_70_80/Voiture/GMC_Vandura_Agence_tous_risques.jpg " "./front/images/img_Voiture_70_80/Voiture/GMC_Vandura_Agence_tous_risques.jpg " 100000 150
"BUICK CENTURY" 1969 60000 "./front/images/img_Voiture_70_80/Voiture/La_Buick_Century_455_de_KOJAK.jpg " "./front/images/img_Voiture_70_80/Voiture/La_Buick_Century_455_de_KOJAK.jpg " 100000 230
"LOTUS ELAN" 1968 75000 "./front/images/img_Voiture_70_80/Voiture/Lotus_Elan_Madame_Peel.jpg " "./front/images/img_Voiture_70_80/Voiture/Lotus_Elan_Madame_Peel.jpg " 100000 230
" DOLOREAN " 1981 40000 " ./front/images/img_Voiture_70_80/Voiture/Dolorean_de_Retour_vres_le_futur.png " " ./front/images/img_Voiture_70_80/Voiture/Dolorean_de_Retour_vres_le_futur.png " 120000 230
